,Date,Pitcher,IP,Hits,ER,Walks,Strike Outs,W,L,Saves,Holds,Points
391,MAY 24,Tony Gonsolin,5.2,3,3,2,4,0,0,0,0,10.0
395,MAY 25,Zach Eflin,7.0,6,1,2,0,1,0,0,0,13.0
397,MAY 25,Dylan Floro,0.1,4,3,1,0,0,0,0,0,-10.0
400,MAY 26,Emmanuel Clase,1.0,2,1,0,2,0,0,1,0,6.0
404,MAY 26,Dylan Floro,1.0,0,0,0,2,0,0,0,0,5.0
405,MAY 26,Erik Swanson,1.0,0,0,2,2,0,0,0,1,5.0
408,MAY 27,Jhoan Duran,1.0,1,0,0,2,0,0,0,0,4.0
410,MAY 27,Carlos Estevez,1.0,0,0,0,3,0,0,0,0,6.0
411,MAY 27,Dylan Floro,1.0,1,0,0,1,1,0,0,0,5.0
413,MAY 28,Spencer Strider,6.0,2,2,1,9,1,0,0,0,22.0
418,MAY 28,Alex Cobb,4.0,7,7,4,5,0,1,0,0,-10.0
419,MAY 28,Erik Swanson,1.1,0,0,0,3,0,0,0,1,9.0
422,MAY 29,Jhoan Duran,2.0,1,0,0,3,1,0,0,0,10.0
423,MAY 29,Carlos Estevez,1.0,1,1,1,0,0,0,1,0,4.0
425,MAY 29,Bobby Miller,6.0,4,1,1,4,1,0,0,0,17.0
428,MAY 30,Emmanuel Clase,1.0,1,0,0,1,0,0,0,0,3.0
431,MAY 30,Dylan Floro,0.0,2,3,2,0,0,1,0,0,-12.0
432,MAY 30,Tony Gonsolin,6.0,3,1,2,2,1,0,0,0,15.0
435,MAY 31,Emmanuel Clase,1.0,0,0,0,1,0,0,0,0,4.0
437,MAY 31,Zach Eflin,6.0,4,3,1,5,0,0,0,0,12.0
440,MAY 31,Dane Dunning,5.0,7,3,1,6,0,1,0,0,5.0
443,JUNE 1,Joe Musgrove,6.0,3,0,3,3,1,0,0,0,17.0
451,JUNE 2,Jhoan Duran,1.2,1,0,1,3,0,0,1,0,11.0
455,JUNE 3,Spencer Strider,6.0,3,2,4,7,1,0,0,0,16.0
456,JUNE 3,Emmanuel Clase,1.0,0,0,0,2,0,0,1,0,10.0
